id,telescope,sn_ra,sn_dec,host_ra,host_dec,hst,jwst,euclid
130972,HST,150.279695,2.041101,150.279917,2.041285,052,A4,101542818
371996,HST,150.282844,1.932259,150.282612,1.932054,040,A10,101542818
471959,HST,150.278904,2.430962,150.278761,2.43097,076,B3,101545698
63924,EUCLID,149.9685730506876,2.233454590805704,149.968173,2.233122,066,A2,101544256
318858,JWST,150.185337,1.842646,150.185272,1.842447,041,A9,101541377
320233,JWST,150.146358,1.86641,150.146358,1.86641,041,A9,101541377
246188,JWST,149.90842,1.994614,149.908499,1.994562,054,A7,101542816
296673,JWST,150.103129,2.006954,150.103238,2.006677,053,A3,101542817
435613,JWST,150.073048,2.530626,150.072976,2.530611,089,B2,101545697
435769,JWST,150.108823,2.518886,150.108894,2.518892,089,B2,101545697
468896,JWST,150.26457146694182,2.4142228475769287,150.26447,2.414282,076,B3,101545698
9748,JWST,149.86509251002576,2.1682127700879295,149.8652,2.168081,067,A1,101544256
19931,JWST,149.80297471386353,2.2640588444012053,149.803126,2.263927,067,A1,101544256
53669,JWST,149.9952485720487,2.163583717063025,149.995178,2.163654,066,A2,101544257
63919,JWST,149.96067935746066,2.240483225556507,149.960696,2.240525,066,A2,101544256
78323,JWST,150.11312560555407,2.012647241341165,150.113247,2.012684,053,A3,101542817
430352,JWST,150.14586867115494,2.465216746909871,150.145807,2.465175,089,B2,101545697
